Zone,Population,Variation,Exportation totale,Importations Totale,Consommation Totale,Production,Dispo intérieure poulet,Exportations poulet,Importations poulet,Consommation poulet,Stabilité politique,Pib (%),TDI,TAS
Afghanistan,36296113,14.146795829074033,601000000.0,4555000000.0,12968000000.0,11609000000.0,57000000.0,-5000000.0,29000000.0,55000000.0,-2.52,3.0,7.5790349417637275,21.57737104825291
Afrique du Sud,57009756,7.326988033416592,10968000000.0,9020000000.0,31726000000.0,68455000000.0,2118000000.0,-80000000.0,514000000.0,2035000000.0,-0.05,17.0,0.8223924142961342,2.892596644784829
Albanie,2884169,-1.0376299031020768,156000000.0,884000000.0,3631000000.0,4231000000.0,47000000.0,-77000000.0,38000000.0,47000000.0,0.09,9.0,5.666666666666667,23.275641025641026
Algérie,41389189,9.677150233603276,743000000.0,19718000000.0,33056000000.0,26763000000.0,277000000.0,-22000000.0,2000000.0,264000000.0,-1.2,6.0,26.53835800807537,44.48990578734859
Allemagne,82658409,2.0394549331333036,58793000000.0,66550000000.0,77988000000.0,167828000000.0,1739000000.0,517000000.0,842000000.0,1609000000.0,0.93,6.0,1.1319374755498104,1.3264844454271767
Angola,29816766,15.792574553524682,60000000.0,4153000000.0,17025000000.0,28523000000.0,319000000.0,-35000000.0,277000000.0,315000000.0,-0.39,20.0,69.21666666666667,283.75
Antigua-et-Barbuda,95426,5.257476997883172,0.0,71000000.0,59000000.0,23000000.0,7000000.0,-233000000.0,7000000.0,5000000.0,0.96,2.0,0.0,0.0
Arabie saoudite,33101178,11.921868402330912,2241000000.0,26414000000.0,18086000000.0,9037000000.0,1435000000.0,-356000000.0,722000000.0,1435000000.0,-0.43,6.0,11.786702365015618,8.070504239178938
Argentine,43937140,4.966058327874768,63629000000.0,3391000000.0,34126000000.0,204480000000.0,1962000000.0,25000000.0,8000000.0,1856000000.0,0.07,15.0,0.05329330965440287,0.5363277750711154
Arménie,2944791,2.056410794518193,244000000.0,846000000.0,2962000000.0,3708000000.0,47000000.0,-57000000.0,35000000.0,47000000.0,0.11,9.0,3.4672131147540983,12.139344262295081
Australie,24584620,6.836274060774576,52287000000.0,6439000000.0,22296000000.0,127100000000.0,1171000000.0,-7000000.0,16000000.0,1171000000.0,1.03,8.0,0.12314724501310077,0.42641574387515063
Autriche,8819901,3.6017864599613882,7823000000.0,9485000000.0,8216000000.0,17570000000.0,173000000.0,28000000.0,110000000.0,160000000.0,1.36,5.0,1.2124504665729259,1.0502364821679662
