Population,Variation,Production,Dispo intérieure poulet,Exportations poulet,Importations poulet,Consommation poulet,Stabilité politique,Pib (%),TDI,TAS
36296113,14.146795829074033,11609000000.0,57000000.0,-5000000.0,29000000.0,55000000.0,-2.52,3.0,7.5790349417637275,21.57737104825291
57009756,7.326988033416592,68455000000.0,2118000000.0,-80000000.0,514000000.0,2035000000.0,-0.05,17.0,0.8223924142961342,2.892596644784829
2884169,-1.0376299031020768,4231000000.0,47000000.0,-77000000.0,38000000.0,47000000.0,0.09,9.0,5.666666666666667,23.275641025641026
41389189,9.677150233603276,26763000000.0,277000000.0,-22000000.0,2000000.0,264000000.0,-1.2,6.0,26.53835800807537,44.48990578734859
82658409,2.0394549331333036,167828000000.0,1739000000.0,517000000.0,842000000.0,1609000000.0,0.93,6.0,1.1319374755498104,1.3264844454271767
29816766,15.792574553524682,28523000000.0,319000000.0,-35000000.0,277000000.0,315000000.0,-0.39,20.0,69.21666666666667,283.75
95426,5.257476997883172,23000000.0,7000000.0,-233000000.0,7000000.0,5000000.0,0.96,2.0,0.0,0.0
33101178,11.921868402330912,9037000000.0,1435000000.0,-356000000.0,722000000.0,1435000000.0,-0.43,6.0,11.786702365015618,8.070504239178938
43937140,4.966058327874768,204480000000.0,1962000000.0,25000000.0,8000000.0,1856000000.0,0.07,15.0,0.05329330965440287,0.5363277750711154
2944791,2.056410794518193,3708000000.0,47000000.0,-57000000.0,35000000.0,47000000.0,0.11,9.0,3.4672131147540983,12.139344262295081
24584620,6.836274060774576,127100000000.0,1171000000.0,-7000000.0,16000000.0,1171000000.0,1.03,8.0,0.12314724501310077,0.42641574387515063
8819901,3.6017864599613882,17570000000.0,173000000.0,28000000.0,110000000.0,160000000.0,1.36,5.0,1.2124504665729259,1.0502364821679662
9845320,5.897502569748882,10673000000.0,129000000.0,-40000000.0,27000000.0,129000000.0,-0.41,7.0,3.9265785609397943,11.452276064610867
381755,4.759859071917851,182000000.0,26000000.0,-174000000.0,24000000.0,16000000.0,1.13,4.0,20.77777777777778,23.88888888888889
159685424,5.435489841577524,89461000000.0,250000000.0,-8000000.0,0.0,240000000.0,-1.63,11.0,67.17100371747212,286.1189591078067
286232,0.8842477430895237,219000000.0,17000000.0,-199000000.0,2000000.0,13000000.0,1.27,3.0,4.345454545454546,3.109090909090909
9450231,0.3511554373644358,33634000000.0,265000000.0,191000000.0,21000000.0,264000000.0,0.01,14.0,0.5144,1.2250666666666667
11419748,2.9281731961160564,27757000000.0,152000000.0,599000000.0,338000000.0,144000000.0,0.94,5.0,1.1999506447035597,0.3579184403726325
375769,10.051121832828148,2348000000.0,19000000.0,-108000000.0,0.0,10000000.0,0.18,3.0,0.19008264462809918,0.45041322314049587
